"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-058xZM-0001","PLA-058","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,12,15.1,8.54,70.7,256.19,114.27,7.92
"PLA-015xZM-0001","PLA-015","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,11,6,16.09,8.96,76.81,253.66,117.7,8.06
"PLA-055xZM-0001","PLA-055","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,1,5,16.22,9.93,76.52,295.89,119.65,8.01
"PLA-025xZM-0001","PLA-025","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,1,12.82,7.77,73.62,291,119.61,6.1
"PLA-051xZM-0001","PLA-051","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,3,11,13.29,8.89,69.93,268.14,111.21,6.42
"PLA-053xZM-0001","PLA-053","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,6,13.04,9.98,72.4,289.48,114.09,9.63
"PLA-030xZM-0001","PLA-030","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,7,14.74,8.59,71.23,276.64,117.61,7.68
"PLB-029xZM-0001","PLB-029","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,3,10,14.37,7.43,75.24,270.35,117.57,8.4
"PLB-008xZM-0001","PLB-008","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,4,8,15.8,8.28,75.75,293.27,118.38,8.76
"PLB-047xZM-0001","PLB-047","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,5,1,16.08,9.21,75.73,266.21,122.61,9.6
"PLB-026xZM-0001","PLB-026","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,6,8,12.34,9.33,79.09,274.65,120,7.25
"PLB-048xZM-0001","PLB-048","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,4,3,18.12,7.49,72.63,262.2,114.92,7.96
"PLB-025xZM-0001","PLB-025","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,4,2,15.63,9.81,77.19,271.87,120.89,9.34
"PLB-019xZM-0001","PLB-019","ZM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,1,10,16.69,9.58,77.09,293.12,123.56,6.99
"PLA-058xZM-0002","PLA-058","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,3,6,14.03,8.72,71.49,282.32,118.99,6.82
"PLA-015xZM-0002","PLA-015","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,10,2,15.07,8.92,73.6,258.06,117.01,7.6
"PLA-055xZM-0002","PLA-055","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,1,13.29,7.9,73.7,283.68,115.28,7.1
"PLA-025xZM-0002","PLA-025","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,8,12.87,8.6,72.07,283.25,116.99,5.28
"PLA-051xZM-0002","PLA-051","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,7,2,11.9,9.82,74.32,262.64,117.98,7.6
"PLA-053xZM-0002","PLA-053","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,6,3,12.84,9.38,77.59,247.33,120.83,9.17
"PLA-030xZM-0002","PLA-030","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,10,1,13.5,8.91,71.91,239.84,116.16,6.99
"PLB-029xZM-0002","PLB-029","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,9,11,14.02,8.95,74.72,277.91,114.36,8.29
"PLB-008xZM-0002","PLB-008","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,5,8,10.4,8.54,72.78,282.13,122.68,6.96
"PLB-047xZM-0002","PLB-047","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,7,14.08,10.01,77.18,239.25,125.41,8.63
"PLB-026xZM-0002","PLB-026","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,9,7,15.57,8.37,74.5,266.23,118.29,7.79
"PLB-048xZM-0002","PLB-048","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,1,7,12.89,9.88,75.21,230.41,118.73,8.66
"PLB-025xZM-0002","PLB-025","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,2,13.65,10.1,71.7,252.9,124.86,9.1
"PLB-019xZM-0002","PLB-019","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,8,9,13.21,7.64,77.04,281.69,127.52,7.99
"PLA-058xZM-0003","PLA-058","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,8,11,11.95,8.39,77.87,254.31,115.05,7.41
"PLA-015xZM-0003","PLA-015","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,8,7,16.49,9.87,71.58,242.18,119.13,7.9
"PLA-055xZM-0003","PLA-055","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,5,3,11.4,8.96,82,266.7,122.2,8.99
