"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-009xZM-0001","PLA-009","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,5,2,12.99,7.69,69.99,216.15,125.26,5.7
"PLA-044xZM-0001","PLA-044","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,6,4,12.83,8.65,74.98,213.03,118.05,4.46
"PLA-053xZM-0001","PLA-053","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,4,5,14.87,8.73,68.54,231.43,122.97,7.16
"PLB-047xZM-0001","PLB-047","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,1,6,10.71,9.22,71.32,258.66,122.17,5.97
"PLB-052xZM-0001","PLB-052","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,6,1,11.22,8.38,71.01,237.98,126.15,6.72
"PLB-027xZM-0001","PLB-027","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,5,4,7.5,8.68,67.95,219.1,120.42,5.09
"PLA-009xZM-0002","PLA-009","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,3,2,15.32,7.57,70.97,183.26,121.27,4.09
"PLA-044xZM-0002","PLA-044","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,3,1,14.38,8.84,74.46,227.18,118.99,6.74
"PLA-053xZM-0002","PLA-053","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,4,3,13.44,8.05,68.79,210.86,123.72,4.25
"PLB-047xZM-0002","PLB-047","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,1,5,13.47,8.74,65.55,231.73,124.81,6.27
"PLB-052xZM-0002","PLB-052","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,2,1,13.62,6.91,70.34,222.41,126.59,5.59
"PLB-027xZM-0002","PLB-027","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,2,3,8.08,8.59,63.02,221.19,121.73,4.81
"PLA-009xZM-0003","PLA-009","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,4,2,14.72,7.5,71.75,216.15,127.68,5.7
"PLA-044xZM-0003","PLA-044","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,5,1,13.88,7.87,73.4,217.13,124.07,5.35
"PLA-053xZM-0003","PLA-053","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,3,3,14.84,6.26,72.65,226.34,122.57,5.57
"PLB-047xZM-0003","PLB-047","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,2,4,10.66,7.71,72.43,251.31,124.91,5.1
"PLB-052xZM-0003","PLB-052","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,1,3,13.66,7.69,71.31,235.44,124.98,5.73
"PLB-027xZM-0003","PLB-027","ZM-0003","WESTFARM-2025-L1","WESTFARM-2025-L1-B1",1,3,4,9.01,7.11,67.23,211.69,124.85,5.75
"PLA-009xZM-0001","PLA-009","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,3,6,14.83,10.39,69.82,247.88,130.11,4.86
"PLA-044xZM-0001","PLA-044","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,4,1,13.56,9.26,70.54,209.24,118.8,5.3
"PLA-053xZM-0001","PLA-053","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,1,4,12.9,9.21,73.36,241.92,117.36,4.93
"PLB-047xZM-0001","PLB-047","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,5,3,9.04,7.77,68.84,225.12,122.42,4.06
"PLB-052xZM-0001","PLB-052","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,6,5,11.17,7.82,67.13,254.81,119.98,7.01
"PLB-027xZM-0001","PLB-027","ZM-0001","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,6,6,10.35,8.87,68.84,231.26,128.24,5.62
"PLA-009xZM-0002","PLA-009","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,6,3,13.59,6.37,71.72,211.4,125.87,4.34
"PLA-044xZM-0002","PLA-044","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,2,6,15.65,8.46,76.5,220.63,125,6.4
"PLA-053xZM-0002","PLA-053","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,5,5,13.31,8.25,68.48,224.35,126.74,4.3
"PLB-047xZM-0002","PLB-047","ZM-0002","WESTFARM-2025-L1","WESTFARM-2025-L1-B2",2,5,6,13.22,8.97,67.59,230.24,126.92,5.31
