"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-028xZM-0001","PLA-028","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,3,2,13.45,NA,NA,226.01,116.08,NA
"PLA-019xZM-0001","PLA-019","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,7,3,10.66,NA,NA,251.94,117.89,NA
"PLA-034xZM-0001","PLA-034","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,1,2,12.4,NA,NA,238.04,115.93,NA
"PLA-054xZM-0001","PLA-054","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,5,5,14.05,NA,NA,226.96,112.5,NA
"PLA-016xZM-0001","PLA-016","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,6,8,11.7,NA,NA,248.45,119.79,NA
"PLA-040xZM-0001","PLA-040","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,2,7,17.28,NA,NA,264.36,116.99,NA
"PLA-022xZM-0001","PLA-022","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,5,7,11.97,NA,NA,231.25,115.46,NA
"PLA-033xZM-0001","PLA-033","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,5,3,11.54,NA,NA,263.69,118.56,NA
"PLA-060xZM-0001","PLA-060","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,7,7,12.88,NA,NA,249.39,124.11,NA
"PLA-027xZM-0001","PLA-027","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,4,2,13.5,NA,NA,231.65,119.38,NA
"PLA-029xZM-0001","PLA-029","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,4,8,16.5,NA,NA,249.52,120.86,NA
"PLA-001xZM-0001","PLA-001","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,4,7,13.36,NA,NA,253.78,121.78,NA
"PLB-005xZM-0001","PLB-005","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,7,8,13.43,NA,NA,237.83,114.25,NA
"PLB-018xZM-0001","PLB-018","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,3,6,11.88,NA,NA,273.48,117.89,NA
"PLB-051xZM-0001","PLB-051","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,4,6,12.84,NA,NA,251.07,122.12,NA
