"genotype","parent1","parent2","env","block","rep","row","col","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"PLA-042xTOM-0001","PLA-042","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,11,9,87.84,NA,NA,99.14,98.2,21.54
"PLA-058xTOM-0001","PLA-058","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,6,7,93.89,NA,NA,93.8,102.83,22.42
"PLA-002xTOM-0001","PLA-002","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,1,9,106.27,NA,NA,104.89,102.33,18.78
"PLA-051xTOM-0001","PLA-051","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,1,100.88,NA,NA,102.84,107.07,23.07
"PLA-025xTOM-0001","PLA-025","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,2,97.13,NA,NA,103.04,103.85,19.6
"PLA-008xTOM-0001","PLA-008","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,12,5,88.88,NA,NA,98.63,103.63,21.93
"PLA-015xTOM-0001","PLA-015","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,6,98.49,NA,NA,94.95,106.11,18.94
"PLA-057xTOM-0001","PLA-057","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,7,8,71.63,NA,NA,95.32,105.52,24.16
"PLA-055xTOM-0001","PLA-055","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,5,8,91.68,NA,NA,104.52,97.41,22.22
"PLA-030xTOM-0001","PLA-030","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,7,1,94.72,NA,NA,103.58,110.07,22.5
"PLA-053xTOM-0001","PLA-053","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,10,9,101.18,NA,NA,90.21,101.11,24.93
"PLA-043xTOM-0001","PLA-043","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,4,8,70.2,NA,NA,101.91,99.56,17.99
"PLB-029xTOM-0001","PLB-029","TOM-0001","EAST-2024-L1","EAST-2024-L1-B1",1,9,3,111.21,NA,NA,101.14,103.88,27.41
