"genotype","parent1","parent2","env","block","rep","row","col","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"PLA-044xTOM-0001","PLA-044","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,9,126.03,NA,NA,78.05,114.07,NA
"PLA-015xTOM-0001","PLA-015","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,9,129.17,NA,NA,89.5,116.92,NA
"PLA-014xTOM-0001","PLA-014","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,7,129,NA,NA,83.23,114.3,NA
"PLA-048xTOM-0001","PLA-048","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,12,109.24,NA,NA,82.3,116.14,NA
"PLA-043xTOM-0001","PLA-043","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,2,134.45,NA,NA,95.28,114.48,NA
"PLA-053xTOM-0001","PLA-053","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,1,142.97,NA,NA,90.21,115.21,NA
"PLA-041xTOM-0001","PLA-041","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,8,124.33,NA,NA,81.68,105.88,NA
"PLA-024xTOM-0001","PLA-024","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,3,138.79,NA,NA,91.17,124.87,NA
"PLA-009xTOM-0001","PLA-009","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,9,136.96,NA,NA,86.31,118.3,NA
"PLA-038xTOM-0001","PLA-038","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,4,138.23,NA,NA,80.69,116.72,NA
"PLA-042xTOM-0001","PLA-042","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,7,140.2,NA,NA,90.35,120.61,NA
"PLA-013xTOM-0001","PLA-013","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,4,139.69,NA,NA,77.55,119.17,NA
"PLA-055xTOM-0001","PLA-055","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,5,135.01,NA,NA,82.17,112.71,NA
"PLA-058xTOM-0001","PLA-058","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,12,130.42,NA,NA,96.67,111.77,NA
"PLA-057xTOM-0001","PLA-057","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,1,127.17,NA,NA,85.19,119.62,NA
"PLA-008xTOM-0001","PLA-008","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,3,145.83,NA,NA,92.28,124.13,NA
"PLA-012xTOM-0001","PLA-012","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,3,139.84,NA,NA,77.57,121.93,NA
"PLA-004xTOM-0001","PLA-004","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,7,121.21,NA,NA,83.48,114.88,NA
"PLA-051xTOM-0001","PLA-051","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,4,147.88,NA,NA,85.34,116.77,NA
"PLA-025xTOM-0001","PLA-025","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,8,131.65,NA,NA,88.68,112.61,NA
"PLA-056xTOM-0001","PLA-056","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,2,126.83,NA,NA,91.63,119.18,NA
"PLA-023xTOM-0001","PLA-023","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,1,146.57,NA,NA,90.29,120.05,NA
"PLA-030xTOM-0001","PLA-030","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,6,148.85,NA,NA,81.96,119.12,NA
