"genotype","env","block","rep","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"TOM-0064","CA-2024-L1","CA-2024-L1-B1",1,83.86,5.46,60.24,64.82,117.65,25.48
"TOM-0067","CA-2024-L1","CA-2024-L1-B1",1,98.81,3.9,70.84,93.87,119.18,20.65
"TOM-0158","CA-2024-L1","CA-2024-L1-B1",1,86.19,3.88,52.47,66.3,116.91,24.09
"TOM-0195","CA-2024-L1","CA-2024-L1-B1",1,107.02,4.45,61.27,81.81,124.92,27.13
"TOM-0148","CA-2024-L1","CA-2024-L1-B1",1,82.78,5.21,49.67,66.59,115.26,15.48
"TOM-0200","CA-2024-L1","CA-2024-L1-B1",1,81.27,5.17,52.98,69.54,111.02,24.65
"TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,85.86,4.27,51.1,79.89,117.55,17.17
"TOM-0097","CA-2024-L1","CA-2024-L1-B1",1,113.35,5.05,63.88,80.42,113.41,20.75
"TOM-0081","CA-2024-L1","CA-2024-L1-B1",1,82.71,4.47,43.11,73.52,117.95,20.96
"TOM-0125","CA-2024-L1","CA-2024-L1-B1",1,99,3.58,42.15,83.23,108.76,24.21
"TOM-0154","CA-2024-L1","CA-2024-L1-B1",1,89.85,4.97,59.15,77.31,111.06,16.47
"TOM-0032","CA-2024-L1","CA-2024-L1-B1",1,101.15,4.28,51.47,79.83,115.88,24.71
"TOM-0222","CA-2024-L1","CA-2024-L1-B1",1,88.52,4.58,58.15,89.2,117.23,14.84
"TOM-0111","CA-2024-L1","CA-2024-L1-B1",1,71.22,4.64,48.37,89.81,111.17,20.7
"TOM-0156","CA-2024-L1","CA-2024-L1-B1",1,80.14,4.97,37.44,69.37,115.58,22.15
"TOM-0205","CA-2024-L1","CA-2024-L1-B1",1,85.27,5.34,46.12,74.78,109.71,19.09
"CHK-01","CA-2024-L1","CA-2024-L1-B1",1,82.73,4.82,56.98,70.56,120.91,17.91
"CHK-02","CA-2024-L1","CA-2024-L1-B1",1,63.25,4.84,50.4,81.12,123.7,24.56
"CHK-03","CA-2024-L1","CA-2024-L1-B1",1,73.51,4.17,50.61,64.67,117.03,16.37
"CHK-04","CA-2024-L1","CA-2024-L1-B1",1,83.26,3.27,49.01,68.92,123.57,18.41
"CHK-05","CA-2024-L1","CA-2024-L1-B1",1,69.56,4.51,52.3,68.62,118.88,24.51
"CHK-06","CA-2024-L1","CA-2024-L1-B1",1,81.47,3.81,44.54,75.43,120.89,18.68
"TOM-0064","CA-2024-L1","CA-2024-L1-B2",2,89.37,4.9,55.35,59.69,122.13,23.84
"TOM-0067","CA-2024-L1","CA-2024-L1-B2",2,102.1,3.3,68.47,84.49,125,22.76
"TOM-0158","CA-2024-L1","CA-2024-L1-B2",2,98.03,3.35,53.11,64.8,116.15,22.83
"TOM-0195","CA-2024-L1","CA-2024-L1-B2",2,98.86,4.61,56.03,87.37,128.16,21.98
"TOM-0148","CA-2024-L1","CA-2024-L1-B2",2,109.23,5.55,49.66,72.63,121.76,18.21
"TOM-0200","CA-2024-L1","CA-2024-L1-B2",2,93.8,3.98,57.32,62.96,115.77,22.64
"TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,96.11,5.03,59.33,77.31,114.6,18.86
"TOM-0097","CA-2024-L1","CA-2024-L1-B2",2,97.96,4.02,53.77,74.47,119.36,24.17
"TOM-0081","CA-2024-L1","CA-2024-L1-B2",2,108.96,5.17,50.04,70.9,122.38,23.75
"TOM-0125","CA-2024-L1","CA-2024-L1-B2",2,99.69,4.57,50.83,102.5,109.76,21.46
"TOM-0154","CA-2024-L1","CA-2024-L1-B2",2,110.66,3.75,48.65,74.69,108.54,19.05
"TOM-0032","CA-2024-L1","CA-2024-L1-B2",2,90.74,3.94,64.47,70.48,115.73,22.93
"TOM-0222","CA-2024-L1","CA-2024-L1-B2",2,107.27,4.21,50.57,91.9,123.54,17.36
"TOM-0111","CA-2024-L1","CA-2024-L1-B2",2,90.48,4.33,50.46,85.16,108.32,20.84
"TOM-0156","CA-2024-L1","CA-2024-L1-B2",2,88.87,4.74,43.08,77.03,121.11,27.42
"TOM-0205","CA-2024-L1","CA-2024-L1-B2",2,91.8,4.78,50.92,83.13,111.2,21.17
"CHK-01","CA-2024-L1","CA-2024-L1-B2",2,95.68,4.05,53.44,74.33,123.76,22.01
"CHK-02","CA-2024-L1","CA-2024-L1-B2",2,85.34,4.72,58.69,85.02,125.69,20.66
"CHK-03","CA-2024-L1","CA-2024-L1-B2",2,80.28,4.22,34.55,78.03,116.61,16.12
"CHK-04","CA-2024-L1","CA-2024-L1-B2",2,80.11,3.68,48.63,76.9,121.46,18.19
"CHK-05","CA-2024-L1","CA-2024-L1-B2",2,76.52,4.2,50,72.08,119.55,21.64
"CHK-06","CA-2024-L1","CA-2024-L1-B2",2,86.69,4.38,58.88,72.58,119.95,22.95
"TOM-0064","CA-2024-L1","CA-2024-L1-B3",3,86.04,5.54,52.69,66.53,117.41,25.61
"TOM-0067","CA-2024-L1","CA-2024-L1-B3",3,65.65,4.03,53.69,88.42,114.06,20.22
"TOM-0158","CA-2024-L1","CA-2024-L1-B3",3,100.99,4.22,49.09,58.68,112.18,23.87
"TOM-0195","CA-2024-L1","CA-2024-L1-B3",3,92.13,4.49,49.6,69.04,121.3,23.16
"TOM-0148","CA-2024-L1","CA-2024-L1-B3",3,91.24,4.57,41.62,65.18,118.51,16.4
"TOM-0200","CA-2024-L1","CA-2024-L1-B3",3,77.82,4.23,43,61.61,111.15,22.8
"TOM-0002","CA-2024-L1","CA-2024-L1-B3",3,89.49,3.94,46.21,67.58,114.8,20.64
"TOM-0097","CA-2024-L1","CA-2024-L1-B3",3,108.09,3.94,52.35,80.61,114.46,20.59
